Random waveform, supplied seed
Total number of intervals = 1000 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289$
Average QPS expected = 51604
Timestamp start: 1684518592525
Timestamp end: 1684519593311

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      492.6   834.9   187.4   260.3   287.1   452.6   499.5   523.4   539.9   559.8   585.8   629.5   827.0  9654.5 36901.6   7364.0     7434
read      384.3   200.6   173.5   224.5   239.5   347.3   414.7   457.5   490.5   530.2   578.0   641.3   779.9  2085.2  7608.5  66406.0    67201
read      504.1  1005.8   173.5   228.0   244.8   367.3   435.6   478.9   512.5   554.3   615.3   753.2  4419.4 12081.8 33760.9  85741.0    85927
read      741.2  1655.5   173.5   238.9   260.9   415.5   511.6   583.1   643.3   747.2  1030.1  2278.8  7081.5 28274.3 38636.3  63853.0    63953
read      646.7  1492.9   173.5   231.9   250.0   402.2   532.5   594.7   635.2   689.0   792.4  1285.2  5890.7 24312.4 37859.7  31363.0    31595
read      445.6   612.9   173.5   230.9   247.3   362.0   428.8   470.9   505.3   547.5   607.5   725.4  2149.4  6328.0 31104.6  87678.0    87879
read      597.7  1459.1   187.4   248.8   272.0   433.2   503.4   540.7   570.1   607.5   665.1   882.0  4007.2 29631.0 37588.1   7434.0     7287
read      436.1   592.6   173.5   220.9   233.8   338.7   415.4   469.7   516.1   569.2   637.6   786.1  1693.0  7956.6 28698.7  61746.0    62295
read      551.0  1133.3   187.4   245.3   268.5   429.7   491.7   523.2   545.6   576.7   618.4   710.4  4501.5 26331.0 29864.0   6752.0     6561
read      647.3  1602.6   173.5   229.2   249.9   455.2   573.7   639.7   684.5   729.8   788.0   900.7  5945.0 31276.0 40880.1  22699.0    22532
read      411.1   421.4   173.5   219.3   231.4   333.8   412.0   471.3   516.9   568.3   628.4   728.3  1486.8  7537.4  8718.6  60928.0    60653
read      407.1   421.0   173.5   221.3   234.6   337.3   411.1   467.5   509.7   558.1   615.5   692.6  1191.7  4815.1 20157.3  58917.0    59076
read      392.5   422.2   173.5   220.5   233.1   332.9   403.4   455.3   496.4   544.1   597.5   668.5   859.2  4009.6  8781.4  60137.0    60154
read      617.9  1476.7   173.5   224.3   241.7   422.2   538.2   591.8   632.3   683.0   751.8   900.7  6190.8 30300.4 34465.7  22846.0    22964
read      685.6  1877.1   173.5   240.0   264.1   459.6   522.8   553.6   577.0   604.1   642.8   757.3  7201.3 31724.4 37468.7   8320.0     8172
read      577.8  1015.9   173.5   227.3   246.0   445.0   570.9   640.4   694.8   752.3   826.5   961.6  3331.7  9631.0 35789.9  27638.0    27652
read      474.5   586.7   160.7   221.8   235.5   360.3   485.0   549.3   590.1   635.6   691.6   830.1  2353.3  9859.2 10894.0  37483.0    37594
read      579.8  1287.3   173.5   221.7   239.3   421.2   545.4   603.7   643.4   687.6   740.3   852.2  4925.7 18621.9 37256.9  24506.0    24367
read      583.4  1223.0   173.5   220.9   237.0   423.9   542.5   618.8   676.9   742.8   825.5   993.4  4555.4 19723.0 35734.2  33509.0    33771
read      447.2   659.3   173.5   221.8   236.3   343.8   410.1   458.9   498.2   547.9   619.0   873.0  1706.5  9234.7 29887.3  85104.0    84944
read      365.2   340.8   173.5   218.1   229.5   318.3   374.4   411.4   441.9   479.5   528.3   602.3   802.6  5174.2  6330.1  85595.0    85666
read      401.4   478.8   173.5   217.5   228.9   331.7   410.3   468.5   509.7   557.2   606.7   670.0   924.9  4734.4 28687.1  52006.0    51918
read      457.3   330.5   173.5   227.1   242.7   390.4   514.5   573.8   612.8   658.3   719.3   812.0  1099.8  6007.5  9061.3  34582.0    34406
read      499.2   694.2   187.4   234.7   252.6   409.9   546.9   609.9   648.1   687.3   739.9   826.5  1428.7 10412.7 30224.5  28637.0    28664
read      493.9   766.1   173.5   229.2   245.6   387.5   511.1   580.4   626.2   673.7   726.9   805.2  1716.2  9887.0 30682.2  38228.0    38289
read      760.9  1705.9   187.4   240.3   261.0   515.1   651.5   729.6   803.9   919.3  1071.2  1374.9  8855.8 30480.9 37098.3  20874.0    20658
read     1043.8  2782.6   187.4   258.5   286.6   566.6   718.2   807.6   867.6   949.0  1078.0  1926.4 12704.8 36764.9 43941.2  13754.0    13840
read      848.9  1118.4   187.4   388.3   436.6   644.1   839.6   976.7  1053.5  1133.4  1241.1  1604.6  2899.4 13671.1 32313.0  92791.0    93419
read      524.9   521.2   187.4   264.9   298.0   471.3   552.0   600.9   635.9   679.9   737.1   836.1  1180.9  6984.7 22517.1  97845.0    98284
read      400.5   416.4   173.5   222.7   236.2   339.6   411.6   458.7   495.4   540.5   597.6   685.2   951.9  6369.3 12715.7  70918.0    71313
read      436.8   385.1   173.5   226.1   241.5   363.9   466.3   534.8   578.1   623.0   674.3   751.5  1229.0  4305.1 15001.8  42266.0    42089
read      405.8   275.3   173.5   225.1   240.4   349.7   436.8   502.8   544.2   587.7   635.8   695.9   852.5  3082.8  9769.5  46366.0    46458
read      414.5   198.2   173.5   225.4   241.4   363.3   487.0   537.6   568.4   600.2   636.0   689.3   815.8  1154.4  5745.2  30712.0    30755
read      407.4   218.6   173.5   224.8   239.8   355.1   445.0   508.1   549.4   593.0   636.3   697.1   851.5  2621.5  8095.2  42915.0    42889
read      365.2   235.7   173.5   223.8   237.9   330.8   386.6   422.5   450.5   484.8   531.0   600.7   748.5  1255.2 12271.6  93468.0    93552
read      381.3   202.1   173.5   224.4   239.0   337.2   405.4   452.5   488.7   533.2   587.2   656.5   793.4  1507.5  7406.2  66310.0    65694
read      492.4   670.5   173.5   231.7   248.4   388.5   521.7   579.4   615.0   653.0   702.4   799.5  2398.5  6129.9 24873.6  29768.0    29574
read      407.8   386.4   173.5   225.4   240.1   353.2   434.2   490.3   532.4   579.6   630.2   701.9   856.0  3805.0  9479.0  51652.0    51355
read      396.2   306.6   173.5   226.3   241.0   343.6   416.0   462.4   499.3   544.0   596.4   678.3   929.0  2874.5 12040.4  66600.0    67361
read      472.9   591.5   173.5   233.2   250.5   438.6   518.1   551.9   574.4   598.3   633.8   695.2  1281.9  6546.9 31212.3  16336.0    16287
read      389.0   484.6   173.5   224.9   239.2   336.4   398.0   438.7   470.0   509.6   563.6   639.8   840.0  5894.4 30847.3  81764.0    81508
read      369.7   220.5   160.7   222.8   236.8   332.7   392.1   429.2   457.6   494.0   543.3   616.2   790.1  1695.5 12152.3  87883.0    87619
read      364.7   208.7   160.7   224.8   239.0   332.0   387.9   423.3   450.2   482.4   525.6   590.6   747.8  1688.8  7282.2  99102.0    99068
read      404.2   213.8   173.5   225.1   239.9   352.8   434.1   492.6   536.2   583.0   635.1   706.5   882.4  2315.6  7406.8  51595.0    51267
read      488.6   937.5   187.4   236.4   254.6   424.3   486.3   513.5   533.3   555.0   589.9   657.8  1925.2 12588.3 31956.0  11792.0    11822
read      373.0   292.3   173.5   224.0   238.2   331.4   385.9   421.4   449.4   483.0   528.5   597.7   819.8  4269.7 12275.7  96834.0    97494
read      367.4   217.5   173.5   224.3   238.9   333.2   388.7   424.6   452.7   486.7   531.0   599.0   783.4  1493.3  9328.4  97044.0    97350
read      396.6   263.3   173.5   223.6   238.0   344.6   420.8   475.0   517.9   567.2   621.2   688.7   844.2  3636.7 12345.1  55793.0    55460
read      370.8   150.0   173.5   223.6   237.9   335.4   395.6   432.8   462.8   500.5   549.5   627.9   804.4  1567.7  4298.3  86080.0    85984
read      367.8   208.7   173.5   222.5   236.1   328.6   389.8   429.9   460.6   499.0   549.2   619.5   774.7  2066.3  9471.1  81914.0    82043
read      398.1   286.5   173.5   224.9   239.3   347.6   425.9   481.6   525.0   573.0   625.3   689.5   854.9  1408.1 14428.0  52834.0    52873
read      569.0  1430.0   173.5   233.9   250.4   428.3   501.1   535.2   559.4   587.7   628.1   708.2  5504.5 26834.0 37372.9  14034.0    13911
read      417.3   409.8   173.5   226.5   241.1   354.7   438.7   499.7   543.5   590.1   642.0   715.9   914.0  6117.7 12013.1  49435.0    49984
read      497.6   880.6   173.5   244.4   265.3   430.9   489.6   517.7   537.9   563.1   597.4   674.4  2374.7  9190.6 32075.8   9307.0     9274
read      480.3   584.4   173.5   229.2   246.0   396.4   514.9   568.3   604.2   640.7   688.0   782.1  1556.5  6825.7 27165.8  26957.0    27187
read      608.2  1378.1   173.5   227.5   246.9   440.8   559.6   618.2   655.5   696.0   743.2   862.5  5883.6 26185.8 39103.0  18467.0    18735
read      475.9   826.4   173.5   226.1   242.4   361.6   428.5   472.5   508.2   552.1   620.3   837.3  1901.8  8836.2 31867.7  86323.0    86505
read      359.2   435.8   173.5   216.2   227.6   309.4   360.7   393.2   420.5   455.2   501.7   573.3   806.4  5210.5 30292.1  92651.0    93039
read      388.8   612.7   173.5   220.5   233.3   328.5   391.1   433.8   467.4   507.3   558.3   630.9   863.7  6673.7 31194.9  76553.0    75999
read      446.0   643.4   173.5   222.6   237.0   354.9   482.1   541.8   578.2   616.5   660.6   731.9  1373.0  5870.2 31627.3  32338.0    32324
read      478.0  1131.6   173.5   225.3   241.2   359.6   426.9   468.8   501.0   539.1   587.6   673.4  2140.6 18977.8 32182.9  83999.0    84255
read      386.7   453.9   173.5   220.6   233.6   328.0   390.6   430.7   462.1   500.4   549.5   628.4   920.7  5814.5 13757.3  81856.0    81759
read      414.4   337.3   173.5   220.7   234.0   344.7   441.1   509.5   549.8   590.3   634.8   697.5  1046.2  5094.6 12984.1  37356.0    37291
read      419.9   449.7   173.5   219.7   232.2   338.4   417.8   477.5   523.2   572.7   628.3   712.6  1899.8  5033.3 16962.3  54049.0    53818
read      575.3  1406.3   173.5   222.5   237.8   407.0   529.9   589.0   631.3   682.2   745.5   872.7  4151.1 26564.4 36801.3  30195.0    30297
read      601.9  1210.1   173.5   222.4   239.0   426.7   547.4   620.6   676.3   740.0   820.0   983.5  6729.4 13724.5 37286.3  31564.0    31569
read      540.3   885.8   173.5   221.5   236.8   396.5   517.0   589.1   640.2   706.3   802.6   993.5  3341.9  9251.4 31747.4  39018.0    38927
read      568.8  1117.8   173.5   235.2   255.5   467.4   540.9   577.0   601.6   630.9   674.5   767.9  3790.0 11255.7 32235.3  10794.0    10652
read      521.5  1069.2   173.5   230.0   249.6   381.8   455.8   507.1   548.2   595.8   665.5   826.3  2789.9 12647.1 34469.3  97574.0    98119
read      401.1   362.3   173.5   219.3   231.4   333.3   412.3   474.8   520.8   566.8   614.7   679.7  1005.3  3978.6  7914.6  48627.0    48176
read      453.5   577.5   173.5   221.1   235.2   368.6   488.6   549.6   590.1   632.3   685.3   776.6  1127.5  6844.3 31113.3  35138.0    34929
read      517.4   559.5   173.5   224.1   240.5   369.6   477.0   565.5   652.1   776.2   965.1  1263.0  2254.3  4949.3 20011.5  69570.0    69735
read      437.7   382.4   173.5   225.7   241.2   397.5   514.1   554.7   580.2   608.4   640.2   692.4   922.3  3592.2 16198.9  21184.0    20753
read      395.1   586.3   173.5   222.2   236.2   335.5   396.2   434.0   463.7   500.3   547.5   626.7   962.2  7474.8 35311.6  84061.0    84642
read      404.8   284.3   173.5   220.6   234.3   341.5   431.6   500.3   546.5   591.3   637.4   698.4   876.6  3939.9  6398.8  42604.0    42333
read      385.7   369.1   173.5   219.0   230.4   321.0   385.1   433.0   474.3   523.4   578.1   649.8  1076.0  5113.9 11445.4  61598.0    61587
read      376.1   338.8   173.5   220.8   233.0   325.5   385.9   426.5   458.4   497.7   548.9   627.0   876.6  4749.5 10909.3  77992.0    77998
read      396.0   459.3   173.5   223.7   238.5   342.3   402.3   439.4   468.1   503.2   548.9   629.8  1046.2  6282.3 11433.1  97814.0    97625
read      533.1  1282.7   173.5   221.5   237.5   409.3   523.3   577.6   617.9   666.5   726.3   831.7  1642.2 17810.8 39938.0  23830.0    23781
read      448.6   662.3   173.5   221.3   235.2   345.0   422.1   473.1   517.5   572.3   639.3   814.0  1794.5  9332.3 28880.3  66605.0    66723
