Random waveform, supplied seed
Total number of intervals = 1000 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289$
Average QPS expected = 51604
Timestamp start: 1684520016986
Timestamp end: 1684521017880

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      379.8   381.7   173.5   220.6   233.4   331.1   391.3   430.5   463.2   503.5   557.0   638.8   845.8  5257.1 10158.3  81192.0    81508
read      371.1   240.8   173.5   222.3   236.1   331.1   390.3   428.3   459.4   498.0   547.2   626.2   830.2  2420.3 10326.7  88204.0    87619
read      362.3   195.4   173.5   220.8   234.3   329.1   384.0   418.8   446.2   479.3   524.4   594.0   781.0  1568.9  7947.5  98617.0    99068
read      388.4   242.9   160.7   219.0   231.4   339.0   414.5   471.1   515.5   563.4   613.9   678.7   826.1  1484.8 10230.5  50888.0    51267
read      457.1   353.0   173.5   234.3   254.6   444.4   512.1   540.4   560.5   583.8   614.7   666.7  1202.9  4773.1 12742.6  11811.0    11822
read      367.0   286.7   173.5   220.4   233.5   329.2   385.0   419.6   447.6   482.4   527.4   595.5   794.9  3879.5  7145.2  97005.0    97494
read      363.4   178.6   173.5   222.0   236.6   332.8   387.7   421.7   448.6   481.7   525.9   591.1   737.8  1766.8  7601.9  97824.0    97350
read      397.2   316.1   173.5   223.0   237.4   349.3   423.7   474.1   514.3   563.7   620.2   689.7   836.0  2950.6 15575.9  55761.0    55460
read      363.1   187.6   160.7   220.0   232.4   325.5   384.2   422.2   452.7   490.1   539.0   612.1   775.1  2302.7  7677.1  85981.0    85984
read      365.2   200.0   173.5   219.7   232.2   327.1   387.7   426.5   457.8   495.7   544.7   620.3   769.9  1728.9  7873.0  82070.0    82043
read      406.2   583.9   160.7   221.0   234.5   344.1   419.1   471.6   513.0   560.7   613.3   681.7   843.2  9010.9 31100.7  53177.0    52873
read      491.1   734.6   173.5   229.1   247.9   437.6   513.5   547.5   572.7   600.3   636.5   707.1  1842.6  9093.6 31631.4  13706.0    13911
read      404.3   258.8   160.7   221.4   235.2   353.2   434.1   487.3   527.1   572.9   626.9   699.7   869.7  3269.6  9927.6  49988.0    49984
read      445.0   293.6   173.5   243.3   265.1   431.0   492.1   519.7   538.5   561.1   590.5   639.3   854.4  3722.3 11688.3   9171.0     9274
read      554.6  1016.9   173.5   221.0   236.8   411.6   521.5   580.9   626.7   685.2   756.9   893.2  4417.5 11342.5 32120.9  26696.0    27187
read      635.5  1512.4   160.7   220.5   237.0   433.1   562.7   627.0   669.1   713.2   765.7   930.7  6465.3 27912.7 51828.8  18949.0    18735
read      423.5   624.5   173.5   219.8   232.7   336.1   396.6   437.1   470.8   515.6   579.3   728.8  1714.0  7617.0 29315.3  85848.0    86505
read      375.0   506.8   160.7   218.6   230.7   324.8   380.5   414.8   443.0   479.2   527.7   601.1   880.4  4979.1 30895.1  93524.0    93039
read      371.0   446.8   160.7   214.6   226.8   314.6   373.3   413.2   448.2   491.3   544.5   621.7   866.1  5486.7 29422.2  76212.0    75999
read      421.4   369.2   173.5   219.7   233.2   350.3   465.1   529.8   566.4   602.8   640.5   696.9  1008.0  5059.9 10856.8  32639.0    32324
read      372.5   527.8   173.5   214.5   226.6   314.2   372.2   409.6   440.9   479.1   528.9   605.9   836.5  6319.8 30511.0  83566.0    84255
read      378.4   407.8   160.7   217.1   229.1   321.6   379.1   416.0   447.0   487.5   540.2   618.7   996.1  6198.1  9236.9  81891.0    81759
read      412.6   455.5   160.7   214.4   227.2   333.0   435.0   501.3   540.4   579.9   624.4   688.4  1011.5  5071.9 12840.6  37074.0    37291
read      426.4   720.7   173.5   216.4   229.2   337.0   409.1   465.5   511.2   558.1   611.6   684.6  1145.2  9043.8 30907.3  53558.0    53818
read      515.3   765.5   173.5   219.5   234.7   405.2   528.1   594.8   644.0   706.3   782.4   911.2  1741.5  8483.1 31048.6  30624.0    30297
read      573.8  1233.4   173.5   217.9   232.4   409.5   526.7   599.7   659.6   723.5   799.4   951.5  5424.2 10190.7 32504.7  31379.0    31569
read      480.4   722.2   160.7   215.1   228.4   361.7   481.4   545.2   589.9   652.8   754.0   937.8  1554.8  8970.9 30968.2  38752.0    38927
read      618.8  1738.5   173.5   226.4   245.3   429.7   506.4   544.6   570.4   597.7   636.4   726.3  7645.8 30241.7 37182.0  10737.0    10652
read      461.7   950.3   173.5   221.1   236.4   351.2   410.7   451.0   482.4   522.4   581.1   718.4  1866.2  9261.0 35197.5  98223.0    98119
read      393.2   306.1   173.5   214.6   226.8   324.8   401.9   467.0   513.4   559.9   611.3   679.1  1192.4  3699.1  9550.2  47762.0    48176
read      445.5   810.5   173.5   218.6   230.9   344.5   453.3   518.6   558.0   600.0   645.9   723.4  1314.6 13968.9 31984.5  34644.0    34929
read      383.9   535.4   173.5   214.0   226.0   313.9   373.4   416.0   455.8   504.8   563.0   640.2  1058.9  6858.0 30129.7  69573.0    69735
read      497.0   852.5   173.5   219.5   234.8   409.8   520.1   574.4   616.5   660.4   708.3   788.4  1555.5 16385.1 32340.2  20764.0    20753
read      579.9   738.0   173.5   231.6   252.7   384.9   494.3   592.8   697.7   900.6  1138.5  1541.7  2618.3  6870.0 31159.8  84952.0    84642
read      421.3   441.6   173.5   216.3   228.6   335.0   432.2   506.4   551.6   597.3   648.8   736.3  1597.6  6399.2  9438.1  42366.0    42333
read      394.7   379.2   173.5   219.0   230.8   329.0   396.6   447.3   489.0   538.1   595.4   675.1  1132.6  5095.7 15410.3  61405.0    61587
read      389.7   364.2   173.5   220.8   234.4   333.6   395.7   436.9   472.0   515.3   573.5   657.5   980.6  5388.4  9922.3  77416.0    77998
read      370.1   549.9   173.5   218.1   229.9   318.9   371.7   403.7   430.9   464.2   507.3   573.5   739.0  6831.0 30653.1  97664.0    97625
read      592.7  1412.1   173.5   222.9   239.4   415.6   538.4   599.6   639.9   686.0   742.8   842.5  5903.5 25900.4 34105.9  23921.0    23781
read      431.3   745.8   160.7   221.3   235.1   342.6   412.4   462.2   501.5   549.9   610.3   713.0  1688.6  8520.5 35264.4  66557.0    66723
read      531.6  1314.6   173.5   217.3   231.4   384.7   502.4   563.0   608.0   664.6   735.0   845.7  2113.8 27799.6 42214.0  31041.0    31016
read      456.8   765.8   173.5   218.7   232.1   349.8   442.5   509.6   558.2   612.8   676.6   796.7  1463.3  9337.9 32166.4  47426.0    47394
read      368.3   443.8   173.5   216.5   228.8   321.2   376.7   410.6   437.2   471.1   516.3   591.1   830.7  5451.8 30243.2  94680.0    95335
read      599.7  1726.1   187.4   250.1   276.8   391.9   438.5   466.1   489.1   518.5   568.3   739.2  6284.7 31578.9 39357.8   5316.0     5252
read      416.5   540.5   173.5   219.8   232.7   337.7   406.5   456.5   498.3   551.4   622.1   738.0  1514.1  5837.8 30793.5  64653.0    65908
read      578.3  1416.0   173.5   224.5   240.8   429.6   538.9   591.1   626.2   664.6   711.7   800.9  4955.0 30836.2 32355.4  16816.0    16889
read      469.7   855.5   160.7   216.1   229.0   345.4   448.7   513.5   554.5   599.6   662.0   815.7  1895.6 10252.5 31387.1  43040.0    42912
read      357.7   429.9   160.7   214.5   226.9   312.5   361.3   391.9   417.2   451.5   497.7   570.4   785.3  5432.1 25854.0  99659.0    99898
read      541.7  1066.2   173.5   220.2   235.5   419.1   527.8   587.9   638.0   697.7   768.6   869.8  3207.2  9901.4 37417.0  26629.0    26385
read      587.2  1310.5   173.5   221.2   238.4   419.1   541.9   616.0   663.2   710.9   768.5   865.4  5689.9 29106.7 37224.1  22808.0    22616
read      461.7   821.9   173.5   216.2   229.0   340.0   427.5   496.0   545.1   601.1   678.4   853.0  1749.9  9658.6 31872.0  50609.0    50605
read      393.8   740.1   160.7   217.8   230.1   323.1   380.3   417.0   446.2   482.9   530.9   607.7   928.3 12011.7 35408.6  90955.0    90283
read      506.8   875.5   173.5   220.7   235.4   399.6   520.4   575.3   614.6   661.1   716.7   816.4  2814.7 10298.0 34308.2  26287.0    26273
read      442.3   620.5   173.5   215.0   227.9   336.7   431.4   503.7   552.2   603.4   665.2   780.8  1668.1  7886.2 27994.6  48517.0    48521
read      501.0   948.6   173.5   214.6   228.2   364.1   486.2   547.9   588.1   636.1   705.6   866.8  2988.3 11240.7 35685.4  34030.0    34058
read      400.8   499.9   160.7   214.5   226.9   317.3   380.3   426.7   466.1   518.2   584.8   727.9  1615.7  7405.5 16111.1  75280.0    75648
read      583.7  1404.7   173.5   222.6   239.6   418.1   532.3   589.4   628.4   674.2   734.7   847.3  4860.5 30316.1 36601.7  19498.0    19482
read      642.6  1731.8   173.5   221.7   238.3   428.9   534.9   582.4   614.0   649.2   695.4   798.4  6545.5 31671.5 37085.3  15141.0    15054
read      411.9   665.1   173.5   215.9   228.6   328.1   393.4   440.8   479.8   528.0   588.4   692.1  1519.3  8327.7 32116.4  75236.0    75754
read      541.2  1524.9   187.4   249.7   275.9   384.4   436.1   466.0   487.4   510.4   547.3   634.0  4052.5 35488.2 37691.5   5227.0     5187
read      667.1  1638.3   173.5   224.9   244.3   438.3   553.8   613.8   654.3   701.4   760.9   868.5  6932.7 30312.0 32423.5  17528.0    17656
read      451.7   815.8   160.7   222.4   237.9   352.5   413.7   455.0   488.2   530.7   588.4   716.9  1875.6 10434.9 31859.3  96234.0    96343
read      414.6   280.3   160.7   221.1   234.9   353.4   457.4   522.4   560.8   601.0   644.4   702.9   894.5  3758.1 12063.6  36723.0    36665
read      366.7   205.7   173.5   219.5   232.3   328.6   389.7   427.7   458.5   497.1   546.2   621.8   787.6  1659.4  7842.3  84769.0    85269
