Random waveform, supplied seed
Total number of intervals = 1000 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289$
Average QPS expected = 51604
Timestamp start: 1684516888166
Timestamp end: 1684517888928

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      456.1   549.8   187.4   259.2   284.5   425.8   475.9   499.7   516.7   538.3   566.8   615.7   790.6 12358.8 13797.6   7329.0     7434
read      377.5   206.0   160.7   223.0   236.9   342.0   410.3   452.4   482.9   519.0   563.0   626.4   761.3  1286.8  8243.0  66809.0    67201
read      356.1   204.1   160.7   219.2   231.8   321.7   378.3   413.8   441.0   474.4   521.2   587.3   733.3  1683.4  5303.9  85739.0    85927
read      371.9   173.6   173.5   221.0   234.8   332.2   398.5   444.0   479.6   520.9   570.2   634.9   751.2  1163.6  6539.7  63923.0    63953
read      420.7   383.0   173.5   224.1   239.6   362.7   478.2   527.3   558.2   591.2   630.2   686.1   842.7  3806.4 21866.9  31638.0    31595
read      351.8   228.8   173.5   219.5   231.6   317.3   370.6   404.5   433.4   469.6   516.1   585.6   722.0  1075.6  8285.5  87753.0    87879
read      617.0  1238.8   187.4   256.4   283.1   452.3   511.9   547.5   578.3   620.8   713.4  1159.6  4001.3 24239.5 32084.4   7303.0     7287
read      540.1  1012.2   160.7   229.3   246.6   379.0   464.0   520.9   564.4   616.3   697.3  1050.0  3791.8 10696.4 32306.8  61730.0    62295
read      589.4  1254.5   187.4   258.1   286.6   434.1   492.2   525.5   554.7   597.6   679.8  1095.3  2991.6 17144.8 43165.7   6609.0     6561
read      576.3  1041.2   173.5   236.1   256.0   436.5   556.2   608.7   644.0   693.1   767.5  1004.5  3608.3 12429.2 36666.4  22595.0    22532
read      427.5   663.4   173.5   218.9   230.8   334.8   410.4   463.8   505.9   556.6   618.5   728.7  1663.3  8555.4 31056.4  60463.0    60653
read      386.7   293.6   173.5   217.5   229.0   322.7   395.0   450.4   493.9   545.4   604.1   676.3  1030.4  4002.9 10312.3  59277.0    59076
read      365.8   265.8   173.5   212.1   223.9   308.5   372.9   423.4   466.2   514.9   567.7   631.3   808.1  4090.2  8402.6  59772.0    60154
read      559.1  1265.8   173.5   221.5   237.1   422.5   528.5   586.1   632.8   688.8   754.8   856.8  3579.7 20018.1 36869.5  22776.0    22964
read      656.6  1619.8   173.5   231.5   254.7   437.2   496.4   527.0   548.2   577.5   623.5   778.2  6901.6 30582.9 32330.1   8058.0     8172
read      572.2  1140.4   173.5   220.4   237.1   429.2   539.3   602.7   653.5   713.7   783.3   909.1  4962.0 17095.5 32297.9  27515.0    27652
read      536.7  1019.3   173.5   217.9   232.1   399.4   524.3   592.4   647.4   716.9   799.0   937.8  3248.5  8962.9 39192.6  37581.0    37594
read      539.4  1141.0   173.5   220.1   236.3   419.9   534.9   597.7   637.5   681.8   730.0   807.5  3386.0 11583.5 33249.6  24424.0    24367
read      550.7  1027.1   173.5   220.1   235.1   413.0   529.0   596.9   649.5   707.2   774.3   884.3  4567.0  9291.9 35576.1  33595.0    33771
