#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      435.4   428.4   160.7   268.6   299.7   403.1   441.7   464.2   482.0   504.5   539.9   597.5   805.2  6393.9 15669.7   4996.6     5000  1684073545088  1684073550463
read      437.7   285.8   160.7   237.2   266.3   422.5   479.0   507.0   528.3   550.4   583.7   635.0   805.5  4036.5 10665.9   9986.4    10000  1684073551969  1684073557288
read      444.7   316.3   160.7   226.5   250.5   425.7   499.8   537.0   562.0   588.7   625.0   678.4   826.1  4082.2 12840.2  14948.0    15000  1684073558792  1684073564087
read      470.2   246.9   160.7   228.1   252.9   447.8   533.6   580.2   611.1   643.5   684.5   747.1   968.6  2651.3  8160.8  19933.5    20000  1684073565591  1684073570884
read      483.1   306.7   160.7   222.4   242.7   441.5   538.2   595.3   635.8   681.9   743.7   902.8  1154.6  2437.8 12194.8  25073.6    25000  1684073572389  1684073577697
read      479.7   303.6   160.7   223.3   244.0   440.5   540.2   600.9   641.8   686.5   743.7   861.0  1094.8  2189.5 10072.5  29900.8    30000  1684073579201  1684073584496
read      479.6   320.1   160.7   214.9   231.4   411.0   521.9   592.5   644.7   703.6   806.4  1021.2  1324.2  2183.0 10369.1  34866.7    35000  1684073586000  1684073591295
read      466.8   297.3   160.7   215.2   232.0   406.1   516.9   584.9   635.7   689.3   769.3   927.0  1205.9  1582.5 10759.1  39829.2    40000  1684073592798  1684073598077
read      462.4   359.5   160.7   210.8   226.4   380.9   493.6   565.3   621.2   683.6   779.4  1011.1  1368.5  1879.5 15121.0  45070.6    45000  1684073599580  1684073604863
read      455.3   351.6   148.8   210.2   226.2   369.2   484.3   560.2   619.9   687.5   785.2   968.8  1303.5  2309.4 13922.5  50205.8    50000  1684073606367  1684073611647
read      439.8   287.1   160.7   210.9   226.3   356.7   463.1   540.6   601.0   669.9   754.9   930.6  1259.4  1733.4 10025.0  54803.6    55000  1684073613150  1684073618433
read      440.7   308.4   148.8   210.6   226.2   349.2   448.7   522.4   587.9   667.0   774.0   967.2  1353.6  2400.2  8890.6  60002.6    60000  1684073619936  1684073625224
read      436.5   478.4   148.8   207.7   222.9   339.6   432.1   503.4   572.5   663.2   787.5  1008.7  1387.9  2135.4  9460.6  65029.2    65000  1684073626729  1684073632006
read      432.5   297.9   148.8   210.1   225.4   340.7   426.1   492.8   557.2   651.0   774.5  1002.4  1380.8  1967.8  9004.0  69746.2    70000  1684073633509  1684073638787
read      445.8   336.9   148.8   211.0   227.3   343.1   425.8   490.3   557.3   669.0   831.3  1095.4  1492.6  2371.2  9447.4  75050.0    75000  1684073640290  1684073645571
read      431.2   337.3   148.8   209.2   225.0   334.3   405.1   461.9   520.7   628.7   788.0  1061.0  1468.6  2703.8 10064.8  79945.8    80000  1684073647074  1684073652358
read      457.2   366.2   148.8   216.2   232.0   341.6   412.1   466.6   527.4   652.1   881.2  1203.0  1749.6  3329.5  8107.7  84919.8    85000  1684073653862  1684073659141
read      611.9  1239.3   148.8   231.7   252.4   341.5   381.4   413.9   453.7   561.5  1064.3  2108.8  5252.6 10591.8 35217.8  89651.4    90000  1684073660644  1684073665917
read      800.8  2397.4   160.7   278.5   298.7   356.6   379.0   394.8   404.7   426.5   464.1  2165.2 12256.6 31665.1 41357.2  90115.4    95000  1684073667421  1684073672710
read      762.2  2321.1   160.7   268.9   284.9   338.2   360.1   372.1   385.2   401.1   435.8  1898.2 12022.2 31728.1 40809.7  95000.8   100000  1684073674213  1684073679493
read      708.9  2027.3   148.8   252.8   266.9   322.5   345.3   362.0   373.2   395.3   445.7  2332.9 10136.0 30601.6 40768.6  99739.9   105000  1684073680997  1684073686283
read      809.5  2443.3   160.7   282.4   301.9   358.5   379.9   394.8   404.1   424.8   459.4  1920.2 12360.8 31827.6 40988.0  89845.6   110000  1684073687787  1684073693065
read      824.1  2493.2   148.8   281.9   302.9   363.9   388.2   401.7   416.4   434.2   471.3  2012.9 12412.3 31984.6 41430.2  88718.2   115000  1684073694569  1684073699847
read      760.8  2236.7   148.8   267.8   284.7   340.3   363.7   376.8   391.6   408.6   451.6  2346.4 11276.6 31204.9 40212.7  94493.8   120000  1684073701351  1684073706629
read      782.5  2411.0   160.7   271.0   287.5   344.3   368.1   383.6   396.5   415.0   450.6  1664.0 12265.9 31542.4 41766.7  93204.2   125000  1684073708131  1684073713405
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 70.50%,3.00%,100.00%
