2023-05-17T16:54:52.902483 update_cores freqmine [1,2,3]
2023-05-17T16:54:53.565155 update_cores freqmine [2,3]
2023-05-17T16:54:53.814850 update_cores freqmine [1,2,3]
2023-05-17T16:55:08.409521 update_cores freqmine [2,3]
2023-05-17T16:55:08.654682 update_cores freqmine [1,2,3]
2023-05-17T16:55:14.645416 update_cores freqmine [2,3]
2023-05-17T16:55:14.887122 update_cores freqmine [1,2,3]
2023-05-17T16:55:45.689913 update_cores freqmine [2,3]
2023-05-17T16:56:15.738447 update_cores freqmine [1,2,3]
2023-05-17T16:56:25.621334 update_cores freqmine [2,3]
2023-05-17T16:56:45.813320 update_cores freqmine [1,2,3]
2023-05-17T16:56:55.909895 update_cores freqmine [2,3]
2023-05-17T16:56:56.169310 update_cores freqmine [1,2,3]
2023-05-17T16:56:57.649577 update_cores freqmine [2,3]
2023-05-17T16:56:57.898603 update_cores freqmine [1,2,3]
2023-05-17T16:56:58.770021 update_cores freqmine [2,3]
2023-05-17T16:56:59.229218 update_cores freqmine [1,2,3]
2023-05-17T16:57:00.086394 update_cores freqmine [2,3]
2023-05-17T16:57:00.542056 update_cores freqmine [1,2,3]
2023-05-17T16:57:01.009090 update_cores freqmine [2,3]
2023-05-17T16:57:01.462558 update_cores freqmine [1,2,3]
2023-05-17T16:57:02.126864 update_cores freqmine [2,3]
2023-05-17T16:57:02.582853 update_cores freqmine [1,2,3]
2023-05-17T16:57:04.066122 update_cores freqmine [2,3]
2023-05-17T16:57:04.329127 update_cores freqmine [1,2,3]
2023-05-17T16:57:05.395316 update_cores freqmine [2,3]
2023-05-17T16:57:05.642741 update_cores freqmine [1,2,3]
2023-05-17T16:57:20.633119 end freqmine
2023-05-17T16:57:20.881407 start ferret [2,3] 2
2023-05-17T16:57:45.713460 update_cores ferret [2,3]
2023-05-17T16:57:55.833039 update_cores ferret [1,2,3]
2023-05-17T16:58:15.794476 update_cores ferret [2,3]
2023-05-17T16:58:25.701408 update_cores ferret [1,2,3]
2023-05-17T16:58:35.790640 update_cores ferret [2,3]
2023-05-17T16:58:45.689210 update_cores ferret [1,2,3]
2023-05-17T16:58:55.778323 update_cores ferret [2,3]
2023-05-17T16:59:25.782106 update_cores ferret [1,2,3]
2023-05-17T16:59:35.859032 update_cores ferret [2,3]
2023-05-17T16:59:45.750924 update_cores ferret [1,2,3]
2023-05-17T17:00:00.754814 update_cores ferret [2,3]
2023-05-17T17:00:01.006724 update_cores ferret [1,2,3]
2023-05-17T17:00:05.579102 update_cores ferret [2,3]
2023-05-17T17:00:15.686120 update_cores ferret [1,2,3]
2023-05-17T17:00:25.750616 update_cores ferret [2,3]
2023-05-17T17:00:26.880881 end ferret
2023-05-17T17:00:27.196447 start vips [2,3] 2
2023-05-17T17:00:35.662029 update_cores vips [1,2,3]
2023-05-17T17:00:55.597699 update_cores vips [2,3]
2023-05-17T17:01:06.454167 update_cores vips [1,2,3]
2023-05-17T17:01:20.774229 end vips
2023-05-17T17:01:20.776552 end scheduler
