2023-05-14T18:35:00.245545 start scheduler
2023-05-14T18:35:00.245657 start memcached [0] 2
2023-05-14T18:35:00.567157 start radix [2,3] 2
2023-05-14T18:35:29.400403 end radix
2023-05-14T18:35:29.686453 start blackscholes [2,3] 2
2023-05-14T18:35:31.657274 start dedup [1] 2
2023-05-14T18:35:33.028946 pause dedup
2023-05-14T18:35:33.801893 unpause dedup
2023-05-14T18:35:34.006134 pause dedup
2023-05-14T18:35:35.532180 unpause dedup
2023-05-14T18:35:35.735728 pause dedup
2023-05-14T18:35:37.819697 unpause dedup
2023-05-14T18:35:38.024792 pause dedup
2023-05-14T18:35:49.139202 unpause dedup
2023-05-14T18:35:59.100447 pause dedup
2023-05-14T18:36:10.596307 unpause dedup
2023-05-14T18:36:29.158419 pause dedup
2023-05-14T18:46:45.010676 update_cores ferret [1,2,3]
2023-05-14T18:46:45.270967 update_cores ferret [2,3]
2023-05-14T18:46:46.067080 update_cores ferret [1,2,3]
2023-05-14T18:46:46.327371 update_cores ferret [2,3]
2023-05-14T18:46:46.566680 update_cores ferret [1,2,3]
2023-05-14T18:46:46.867241 update_cores ferret [2,3]
2023-05-14T18:46:47.119535 update_cores ferret [1,2,3]
2023-05-14T18:46:47.530630 update_cores ferret [2,3]
2023-05-14T18:46:47.957570 update_cores ferret [1,2,3]
2023-05-14T18:46:48.230363 update_cores ferret [2,3]
2023-05-14T18:46:49.024867 update_cores ferret [1,2,3]
2023-05-14T18:46:59.236440 update_cores ferret [2,3]
2023-05-14T18:47:09.102380 update_cores ferret [1,2,3]
2023-05-14T18:47:21.543360 update_cores ferret [2,3]
2023-05-14T18:47:21.779137 update_cores ferret [1,2,3]
2023-05-14T18:47:24.053933 update_cores ferret [2,3]
2023-05-14T18:47:24.285589 update_cores ferret [1,2,3]
2023-05-14T18:47:26.205983 update_cores ferret [2,3]
2023-05-14T18:47:26.634963 update_cores ferret [1,2,3]
2023-05-14T18:47:29.100961 update_cores ferret [2,3]
2023-05-14T18:47:49.146563 update_cores ferret [1,2,3]
2023-05-14T18:47:59.719202 update_cores ferret [2,3]
2023-05-14T18:47:59.958833 update_cores ferret [1,2,3]
2023-05-14T18:48:00.202929 update_cores ferret [2,3]
2023-05-14T18:48:00.430745 update_cores ferret [1,2,3]
2023-05-14T18:48:00.854825 update_cores ferret [2,3]
2023-05-14T18:48:01.274636 update_cores ferret [1,2,3]
2023-05-14T18:48:01.703278 update_cores ferret [2,3]
2023-05-14T18:48:02.123201 update_cores ferret [1,2,3]
2023-05-14T18:48:02.547465 update_cores ferret [2,3]
2023-05-14T18:48:03.706460 update_cores ferret [1,2,3]
2023-05-14T18:48:05.055134 update_cores ferret [2,3]
