2023-05-19T22:33:34.948428 start scheduler
2023-05-19T22:33:34.948635 start memcached [0,1] 2
2023-05-19T22:33:35.184359 start vips [2,3] 2
2023-05-19T22:33:35.449522 start dedup [1] 2
2023-05-19T22:33:40.692270 pause dedup
2023-05-19T22:34:11.598100 unpause dedup
2023-05-19T22:34:12.941969 pause dedup
2023-05-19T22:34:14.356316 unpause dedup
2023-05-19T22:34:21.821333 pause dedup
2023-05-19T22:34:30.570059 unpause dedup
2023-05-19T22:34:36.119556 end vips
2023-05-19T22:44:26.114904 update_cores freqmine [1,2,3]
2023-05-19T22:44:35.983556 update_cores freqmine [2,3]
2023-05-19T22:44:36.860059 end freqmine
2023-05-19T22:44:37.127226 start ferret [2,3] 8
2023-05-19T22:44:40.667644 update_cores ferret [1,2,3]
2023-05-19T22:44:50.758117 update_cores ferret [2,3]
2023-05-19T22:45:10.942712 update_cores ferret [1,2,3]
2023-05-19T22:45:20.689547 update_cores ferret [2,3]
2023-05-19T22:45:30.779722 update_cores ferret [1,2,3]
2023-05-19T22:45:40.700209 update_cores ferret [2,3]
2023-05-19T22:46:30.628094 update_cores ferret [1,2,3]
2023-05-19T22:46:40.748283 update_cores ferret [2,3]
2023-05-19T22:46:50.650920 update_cores ferret [1,2,3]
2023-05-19T22:47:00.736258 update_cores ferret [2,3]
2023-05-19T22:47:20.687853 update_cores ferret [1,2,3]
2023-05-19T22:47:30.789222 update_cores ferret [2,3]
2023-05-19T22:47:40.691611 update_cores ferret [1,2,3]
2023-05-19T22:47:50.799271 update_cores ferret [2,3]
2023-05-19T22:48:03.566144 end ferret
2023-05-19T22:48:03.569190 end scheduler
