2023-05-17T12:01:35.646816 update_cores freqmine [1,2,3]
2023-05-17T12:01:35.902933 update_cores freqmine [2,3]
2023-05-17T12:01:36.359309 update_cores freqmine [1,2,3]
2023-05-17T12:01:36.820522 update_cores freqmine [2,3]
2023-05-17T12:01:37.080828 update_cores freqmine [1,2,3]
2023-05-17T12:01:37.331980 update_cores freqmine [2,3]
2023-05-17T12:01:37.803036 update_cores freqmine [1,2,3]
2023-05-17T12:01:38.464158 update_cores freqmine [2,3]
2023-05-17T12:01:38.714711 update_cores freqmine [1,2,3]
2023-05-17T12:01:39.388032 update_cores freqmine [2,3]
2023-05-17T12:01:39.667085 update_cores freqmine [1,2,3]
2023-05-17T12:01:39.916191 update_cores freqmine [2,3]
2023-05-17T12:01:40.371736 update_cores freqmine [1,2,3]
2023-05-17T12:01:45.538699 update_cores freqmine [2,3]
2023-05-17T12:01:55.443597 update_cores freqmine [1,2,3]
2023-05-17T12:02:05.335112 update_cores freqmine [2,3]
2023-05-17T12:02:10.307538 update_cores freqmine [1,2,3]
2023-05-17T12:02:15.473021 update_cores freqmine [2,3]
2023-05-17T12:02:20.435087 update_cores freqmine [1,2,3]
2023-05-17T12:02:25.600089 update_cores freqmine [2,3]
2023-05-17T12:02:30.364275 update_cores freqmine [1,2,3]
2023-05-17T12:02:35.363022 update_cores freqmine [2,3]
2023-05-17T12:02:46.087445 update_cores freqmine [1,2,3]
2023-05-17T12:02:48.587746 update_cores freqmine [2,3]
2023-05-17T12:02:48.840308 update_cores freqmine [1,2,3]
2023-05-17T12:02:49.142392 end freqmine
2023-05-17T12:02:49.461920 start ferret [2,3] 2
2023-05-17T12:02:49.512417 update_cores ferret [2,3]
2023-05-17T12:02:50.379511 update_cores ferret [1,2,3]
2023-05-17T12:03:10.504247 update_cores ferret [2,3]
2023-05-17T12:03:15.494599 update_cores ferret [1,2,3]
2023-05-17T12:03:22.107477 update_cores ferret [2,3]
2023-05-17T12:03:25.446114 update_cores ferret [1,2,3]
2023-05-17T12:04:05.812601 update_cores ferret [2,3]
2023-05-17T12:04:10.374023 update_cores ferret [1,2,3]
2023-05-17T12:05:15.379177 update_cores ferret [2,3]
2023-05-17T12:05:20.367345 update_cores ferret [1,2,3]
2023-05-17T12:05:32.396748 end ferret
2023-05-17T12:05:32.645446 start vips [2,3] 2
2023-05-17T12:05:40.511229 update_cores vips [2,3]
2023-05-17T12:05:45.495307 update_cores vips [1,2,3]
2023-05-17T12:05:47.188681 update_cores vips [2,3]
2023-05-17T12:05:47.447428 update_cores vips [1,2,3]
2023-05-17T12:05:55.517706 update_cores vips [2,3]
2023-05-17T12:06:01.032246 update_cores vips [1,2,3]
2023-05-17T12:06:11.678685 update_cores vips [2,3]
2023-05-17T12:06:15.423762 update_cores vips [1,2,3]
2023-05-17T12:06:22.690848 end vips
2023-05-17T12:06:22.692672 end scheduler
