Random waveform, supplied seed
Total number of intervals = 184 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690)
Average QPS expected = 49366
Timestamp start: 1684534588944
Timestamp end: 1684535509480

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      424.2   327.9   173.5   224.0   239.2   362.9   487.6   552.6   589.6   626.4   666.5   719.4   826.5  3611.2 12160.4  30737.4    30755
read      407.4   228.5   173.5   222.0   236.3   351.3   442.2   515.2   564.1   611.4   658.8   717.6   832.7  1940.0  9364.4  42938.0    42889
read      351.1   210.6   160.7   219.1   231.1   317.8   369.7   401.1   428.9   463.6   509.3   581.2   723.3  1658.9  8717.2  93571.0    93552
read      380.0   219.4   160.7   220.5   233.6   332.0   399.5   448.9   489.8   539.0   597.5   671.5   806.9  1971.9  9169.9  65522.0    65694
read      429.4   292.8   160.7   224.2   239.8   366.4   499.0   560.6   594.7   629.3   668.7   723.6   861.0  4131.0 10852.3  29616.4    29574
read      396.1   235.9   160.7   220.9   234.5   340.9   421.2   485.0   534.3   586.7   641.2   707.4   831.6  1688.3  9617.6  51385.0    51355
read      379.1   224.1   160.7   220.7   233.7   333.4   400.6   449.9   489.2   536.4   594.5   671.4   802.1  1457.9  9068.8  67287.2    67361
read      454.2   384.3   173.5   233.8   251.5   438.8   528.5   564.4   587.4   613.8   641.5   690.6   808.4  4885.3 13824.3  16241.6    16287
read      369.2   230.8   160.7   219.9   232.4   324.9   385.4   425.0   458.5   500.6   556.1   636.1   810.5  2410.8  8927.1  81221.8    81508
read      366.1   443.3   160.7   219.1   230.9   320.2   375.6   411.1   440.8   478.8   532.0   612.8   796.8  4544.7  6955.2  87237.4    87619
read      358.2   285.1   160.7   219.7   232.0   319.7   371.1   402.7   430.5   465.1   511.5   585.6   780.5  3243.3  8511.9  99405.2    99068
read      403.0   336.3   160.7   219.6   232.0   337.8   418.3   485.1   536.5   590.2   646.6   718.2   907.3  3762.3 13207.2  51179.8    51267
read      476.4   465.6   173.5   238.8   258.9   455.9   533.0   569.6   593.7   623.9   662.3   724.8   920.7  5295.8 19020.6  11886.6    11822
read      359.6   328.2   160.7   219.1   230.8   317.1   368.3   399.5   426.6   460.7   506.7   584.4   805.7  4523.1 10342.2  97649.4    97494
read      352.4   307.2   160.7   218.7   230.1   314.4   364.3   395.1   420.9   454.7   499.9   572.6   738.8  3714.0 10546.9  97133.0    97350
