2023-05-17T12:36:22.511152 update_cores freqmine [1,2,3]
2023-05-17T12:36:27.676655 update_cores freqmine [2,3]
2023-05-17T12:36:32.446723 update_cores freqmine [1,2,3]
2023-05-17T12:36:37.631021 update_cores freqmine [2,3]
2023-05-17T12:36:47.542848 update_cores freqmine [1,2,3]
2023-05-17T12:36:48.206858 update_cores freqmine [2,3]
2023-05-17T12:36:48.460643 update_cores freqmine [1,2,3]
2023-05-17T12:36:48.919289 update_cores freqmine [2,3]
2023-05-17T12:36:49.383231 update_cores freqmine [1,2,3]
2023-05-17T12:36:50.052743 update_cores freqmine [2,3]
2023-05-17T12:36:50.510723 update_cores freqmine [1,2,3]
2023-05-17T12:37:07.434095 end freqmine
2023-05-17T12:37:07.647370 start ferret [2,3] 2
2023-05-17T12:37:12.603168 update_cores ferret [2,3]
2023-05-17T12:37:17.568256 update_cores ferret [1,2,3]
2023-05-17T12:37:22.744485 update_cores ferret [2,3]
2023-05-17T12:37:23.000207 update_cores ferret [1,2,3]
2023-05-17T12:37:24.078245 update_cores ferret [2,3]
2023-05-17T12:37:24.327887 update_cores ferret [1,2,3]
2023-05-17T12:37:24.788982 update_cores ferret [2,3]
2023-05-17T12:37:25.487650 update_cores ferret [1,2,3]
2023-05-17T12:37:26.964439 update_cores ferret [2,3]
2023-05-17T12:37:27.429605 update_cores ferret [1,2,3]
2023-05-17T12:38:07.584066 update_cores ferret [2,3]
2023-05-17T12:38:12.554784 update_cores ferret [1,2,3]
2023-05-17T12:39:17.740383 update_cores ferret [2,3]
2023-05-17T12:39:22.512654 update_cores ferret [1,2,3]
2023-05-17T12:39:42.635484 update_cores ferret [2,3]
2023-05-17T12:39:47.826772 update_cores ferret [1,2,3]
2023-05-17T12:39:50.747544 update_cores ferret [2,3]
2023-05-17T12:39:51.007753 update_cores ferret [1,2,3]
2023-05-17T12:39:51.413254 end ferret
2023-05-17T12:39:51.691162 start vips [2,3] 2
2023-05-17T12:39:51.731626 update_cores vips [2,3]
2023-05-17T12:39:52.600475 update_cores vips [1,2,3]
2023-05-17T12:39:57.592520 update_cores vips [2,3]
2023-05-17T12:40:02.563461 update_cores vips [1,2,3]
2023-05-17T12:40:12.659594 update_cores vips [2,3]
2023-05-17T12:40:18.383626 update_cores vips [1,2,3]
2023-05-17T12:40:37.519004 update_cores vips [2,3]
2023-05-17T12:40:41.417357 end vips
2023-05-17T12:40:41.421150 end scheduler
