#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      284.0   195.6   160.7   203.0   212.8   265.7   293.2   311.3   324.5   342.1   365.0   397.8   467.7  2017.5  8576.3  29930.0    30000  1683238529240  1683238539386
read      285.5   212.1   148.8   204.7   215.3   266.3   293.2   310.8   323.5   340.8   363.7   396.9   471.5  2208.8  8690.5  29991.8    30005  1683238540892  1683238551017
read      290.3   430.3   160.7   206.3   217.6   269.5   297.3   315.8   330.1   346.7   370.6   404.2   492.3  2303.7  9267.4  29964.7    30010  1683238552526  1683238562638
read      290.8   308.3   160.7   204.1   212.8   262.9   291.2   309.8   323.4   341.8   366.7   401.7   485.7  4755.8 11096.6  29947.2    30015  1683238564146  1683238574264
read      286.3   354.7   160.7   203.7   210.9   253.4   277.8   295.0   309.0   325.4   348.0   384.7   474.5  6512.1 12301.0  30068.5    30020  1683238575773  1683238585893
read      288.7   282.6   160.7   203.6   212.0   261.7   290.1   308.8   322.4   340.8   364.6   398.8   485.4  4473.5 12043.2  30120.6    30025  1683238587399  1683238597518
read      282.3   204.0   148.8   204.9   214.6   262.6   289.0   306.4   319.4   337.1   360.0   393.4   461.1  2476.7  8686.7  29933.8    30030  1683238599026  1683238609131
read      289.1   226.6   160.7   205.3   216.0   268.9   296.0   314.1   327.8   344.7   368.8   402.6   481.1  2689.9 10400.1  30103.4    30035  1683238610641  1683238620749
read      288.9   199.5   160.7   209.1   220.2   268.6   295.5   313.7   327.4   344.6   368.3   401.1   475.5  2389.7  8518.2  29938.4    30040  1683238622257  1683238632375
read      287.7   215.5   148.8   204.6   216.3   269.6   295.9   313.5   326.4   342.7   365.0   396.6   467.7  2268.2  9679.1  30022.7    30045  1683238633882  1683238643995
read      297.3   254.4   160.7   210.9   221.6   271.4   297.4   316.0   330.7   348.1   373.0   410.9   508.1  3893.7  8922.9  30113.7    30050  1683238645502  1683238655612
read      292.5   331.9   160.7   208.6   218.9   260.3   284.8   301.6   316.1   334.7   360.2   399.3   508.5  5130.2 13151.0  30089.7    30055  1683238657122  1683238667230
read      297.4   281.8   160.7   208.3   219.3   269.2   297.1   316.2   331.3   349.2   374.6   415.1   510.9  4732.3 12042.3  30043.2    30060  1683238668740  1683238678847
read      294.2   260.7   160.7   208.7   219.6   268.0   294.7   313.1   327.2   344.9   369.9   408.0   506.7  4109.9 10485.9  30012.4    30065  1683238680356  1683238690474
read      289.7   247.1   160.7   208.1   218.8   266.3   293.1   311.2   324.6   342.5   367.0   402.3   482.5  3525.7 11095.4  29924.9    30070  1683238691983  1683238702090
read      284.1   209.0   160.7   204.3   213.9   265.2   292.5   310.4   323.3   340.9   364.0   397.0   466.0  1954.1  9489.2  30067.3    30075  1683238703597  1683238713708
read      276.9   219.9   160.7   200.8   209.7   257.6   283.6   300.2   314.0   330.3   350.6   380.5   444.2  2353.7 10263.1  29950.5    30080  1683238715216  1683238725323
read      280.3   192.2   160.7   203.0   211.6   262.0   289.2   306.7   319.4   336.9   359.5   393.0   462.2  1740.4  8635.5  30090.2    30085  1683238726833  1683238736940
read      284.5   197.0   148.8   205.8   216.2   265.6   292.5   310.2   322.8   340.3   363.4   396.9   466.6  1952.1  8800.1  29986.1    30090  1683238738449  1683238748564
read      283.4   209.2   148.8   203.7   213.3   264.9   292.3   310.0   322.7   340.5   364.1   397.7   465.8  1967.6  8554.8  30063.0    30095  1683238750070  1683238760187
read      285.6   221.0   160.7   203.7   213.2   266.5   294.3   312.1   325.0   342.2   365.3   398.6   468.0  2322.4 10547.4  30128.1    30100  1683238761702  1683238771816
read      285.4   208.6   160.7   203.2   212.8   266.3   293.8   311.7   324.6   341.5   364.0   397.1   469.5  2646.0  9134.9  30079.2    30105  1683238773324  1683238783456
read      278.2   185.1   160.7   202.0   210.5   259.8   286.5   303.5   316.8   334.2   356.8   391.0   457.7  1921.2  8598.5  30132.9    30110  1683238784964  1683238795078
