minjingshi@client-measure-8n98:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.3 -a 10.0.16.4 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 5 --qps_min 5000 --qps_max 100000 --qps_seed 3274
Random waveform, supplied seed
Total number of intervals = 360 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886)
Average QPS expected = 50334
Timestamp start: 1684326376874
Timestamp end: 1684328177386

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      451.0  1178.1   160.7   221.0   242.4   337.5   376.0   398.1   415.0   434.7   467.9   529.7  3906.0 16486.9 39959.5   7333.4     7434
read      350.9   418.6   148.8   192.2   203.2   287.9   348.2   390.4   425.4   470.3   529.5   615.1  1090.6  5622.8 13005.5  67306.0    67201
read      328.6   381.4   148.8   190.5   200.3   277.4   328.1   361.2   389.1   428.3   484.4   568.0   839.9  5070.2 12876.4  85895.0    85927
read      337.9   311.6   148.8   190.9   201.2   281.9   342.9   387.2   423.1   466.8   522.2   595.6   855.4  4095.5  8703.0  63900.6    63953
read      483.8   855.0   160.7   202.4   213.8   337.0   440.0   507.6   559.5   624.0   738.0  1106.0  2206.6 11667.1 31502.5  31571.0    31595
read      369.7   533.4   148.8   193.1   204.1   270.9   325.4   367.2   401.8   447.8   510.7   681.5  2280.7  5048.6 19207.2  88067.0    87879
read      384.3   716.2   160.7   226.7   249.0   335.2   369.4   388.6   401.4   419.4   440.8   483.9  1479.8  9133.9 37324.2   7306.8     7287
read      338.4   256.1   148.8   193.7   204.9   283.4   356.1   403.4   436.7   474.4   520.5   592.8   795.6  2951.0  8569.5  62069.4    62295
read      566.0  1737.4   160.7   220.2   241.2   341.3   383.6   407.9   426.3   448.6   480.7   576.9  6872.5 30519.6 37094.0   6594.0     6561
read      526.5  1283.9   148.8   190.6   199.9   324.7   441.3   505.0   559.4   644.5   819.3  1019.2  5645.8 17286.8 37626.7  22643.8    22532
read      350.1   502.6   148.8   191.1   201.9   280.0   338.7   381.2   417.9   464.7   520.4   593.3  1277.1  6603.5 27345.5  60608.6    60653
read      346.4   432.5   148.8   191.8   202.9   283.6   345.1   390.8   428.4   474.4   529.6   600.5   909.1  5030.6 17395.2  59085.4    59076
read      350.1   406.5   148.8   192.4   203.7   286.0   348.7   395.5   434.5   482.3   538.5   616.2   956.6  4855.4 12858.0  60241.6    60154
read      487.4   990.5   148.8   190.1   199.0   317.2   432.4   493.2   542.2   620.0   795.7  1007.5  3612.3 10209.7 33831.4  22976.0    22964
read      590.1  1926.0   160.7   209.4   226.0   347.2   399.0   426.9   446.6   469.0   503.9   612.1  6437.6 32517.9 41554.6   8220.0     8172
read      364.6   322.9   148.8   198.9   211.4   321.1   396.2   434.7   460.2   488.7   522.8   576.5   826.3  4939.3 11980.6  27595.0    27652
read      344.2   213.0   148.8   195.1   207.0   303.6   382.7   425.7   453.9   483.9   519.0   573.3   698.4  2215.8  8444.9  37671.0    37594
read      359.0   287.9   148.8   202.9   215.8   328.6   399.4   431.3   452.0   473.2   500.9   543.8   733.0  3840.9 13219.6  24471.8    24367
read      346.9   211.8   148.8   197.4   209.2   307.2   385.6   427.8   454.7   483.1   517.1   571.5   698.9  2448.8  8846.6  33679.8    33771
read      317.0   217.0   148.8   192.6   203.2   264.2   317.2   361.5   396.0   437.5   490.5   576.0   821.7  2300.7  4942.8  84744.4    84944
read      316.2   256.9   148.8   192.3   202.8   262.7   314.8   358.0   392.4   434.3   487.7   575.0   821.0  2250.5  8143.9  85839.0    85666
read      345.9   275.7   148.8   195.5   206.8   290.3   369.5   420.1   455.3   492.9   536.9   604.7   771.9  2961.9  9287.4  51861.8    51918
read      355.2   228.4   148.8   198.7   210.6   310.8   397.9   444.1   472.7   503.6   539.7   590.4   704.3  2318.9  9124.7  34391.4    34406
read      356.1   349.0   148.8   201.3   213.2   318.9   401.5   441.0   465.4   492.0   523.3   569.4   680.6  2213.3 10112.0  28599.2    28664
read      351.0   533.5   148.8   197.6   209.2   303.1   385.8   430.6   460.0   491.5   529.4   588.5   739.5  2497.9 10694.0  38473.4    38289
read      365.0   424.0   160.7   205.5   219.2   339.3   405.3   436.1   456.4   477.7   502.4   540.9   672.7  4042.9 21897.2  20581.2    20658
read      368.0   338.3   160.7   209.9   223.7   351.3   402.2   429.0   446.6   464.7   488.1   522.9   731.1  4195.2 15275.0  13909.6    13840
read      350.0   376.6   148.8   194.1   205.4   285.8   341.1   375.3   405.0   447.2   507.7   616.3  1222.4  4631.5 12173.8  93471.8    93419
read      343.6   355.3   148.8   193.9   204.9   284.9   339.4   371.9   399.4   437.7   497.0   593.5  1139.4  4568.9  8860.1  98212.6    98284
read      358.9   368.5   148.8   195.2   206.5   292.6   357.3   399.8   436.1   482.9   545.5   640.7  1165.7  4496.7 10481.9  71534.6    71313
read      377.0   438.0   148.8   196.0   207.8   307.6   385.7   437.1   476.1   519.9   573.1   653.6  1097.0  5266.2 16232.7  42124.6    42089
read      363.8   333.6   148.8   194.7   206.4   302.3   378.2   429.3   467.7   511.2   564.8   641.4   987.6  4154.9 12185.8  46312.2    46458
read      367.0   347.4   148.8   196.5   208.2   310.2   395.9   443.8   476.3   509.7   547.5   609.4   906.7  4423.9 12071.4  30825.8    30755
read      369.8   353.2   148.8   196.2   207.9   306.6   385.6   437.0   475.6   519.1   570.1   643.4   990.0  4570.9 11465.9  42907.6    42889
read      346.5   439.2   148.8   193.5   204.3   281.7   335.4   368.3   396.5   436.1   495.4   589.2  1165.3  4697.7 13988.4  93365.2    93552
read      364.1   453.3   148.8   194.5   205.9   292.3   356.5   400.4   438.8   486.7   546.0   637.1  1235.5  4981.9 14751.5  65371.6    65694
read      370.8   276.3   148.8   198.0   210.1   318.4   405.1   452.5   483.2   515.8   554.2   619.8   911.4  3984.3  9069.0  29279.6    29574
read      367.9   379.6   148.8   195.2   207.3   306.4   379.1   428.5   466.4   511.4   567.3   648.1  1005.1  4712.6 10157.0  51287.4    51355
read      370.6   491.6   148.8   193.3   204.9   292.2   354.8   397.5   433.9   481.7   544.4   639.9  1521.3  6332.0 17666.9  67459.2    67361
read      368.6   305.4   160.7   207.0   220.6   349.0   406.9   437.7   456.4   475.9   499.5   537.0   749.5  3813.3 12410.6  16224.8    16287
read      345.8   355.4   148.8   193.5   204.6   286.0   342.9   379.0   410.1   453.5   512.3   604.1  1051.9  4424.5  8733.9  81635.4    81508
read      338.8   341.8   148.8   192.9   203.9   283.1   338.4   371.8   400.4   439.9   499.1   587.0  1014.7  4246.5  9255.8  87520.2    87619
read      342.7   389.0   148.8   194.2   205.2   282.6   337.1   370.0   397.5   435.5   494.6   592.6  1089.4  4602.4  9872.0  99044.2    99068
read      362.8   365.0   148.8   195.7   207.4   301.8   374.7   423.7   461.8   507.0   561.4   638.8   977.4  3983.3 12793.2  51228.4    51267
read      379.1   367.9   160.7   215.8   231.1   359.6   404.8   428.5   444.3   461.7   483.8   517.5   733.1  5791.1 14801.2  11891.2    11822
read      343.5   412.9   148.8   194.5   205.7   283.5   335.9   368.0   395.1   432.0   487.5   583.3  1099.0  4885.2 12426.6  97339.0    97494
read      345.2   494.9   148.8   193.9   205.1   282.4   335.3   368.0   395.7   434.2   491.9   586.9  1146.5  4855.0 10642.6  97350.4    97350
read      361.2   545.9   148.8   195.6   207.2   300.3   368.8   414.9   452.7   497.2   551.1   631.1   948.7  4583.8 10153.1  55315.8    55460
read      317.7   220.6   148.8   192.7   203.3   264.7   317.6   361.0   395.0   435.6   487.8   570.6   817.0  2653.5  7675.8  86132.6    85984
read      334.5   783.6   148.8   193.8   204.7   270.4   327.6   372.6   406.9   449.0   500.6   589.5  1006.0  3566.0  9690.9  81920.6    82043
read      367.5   797.0   148.8   195.9   207.7   301.1   376.0   424.5   462.1   505.9   560.1   639.9   997.3  4743.0 12473.4  52946.8    52873
read      376.5   876.9   160.7   208.0   222.1   352.0   402.4   427.8   444.5   462.4   484.6   516.1   778.3  5632.0 12618.4  13865.4    13911
read      354.4   649.7   148.8   194.3   205.9   294.8   367.3   417.8   455.7   499.5   550.2   624.6   927.2  3484.2  8150.9  49891.4    49984
read      372.0   517.3   160.7   220.0   239.4   346.7   385.3   404.4   419.3   434.3   455.8   487.9   666.9  5428.4 29868.8   9324.6     9274
read      377.8   332.3   148.8   199.0   211.8   326.8   410.5   454.9   483.6   513.6   547.8   607.2   981.3  4182.2 12508.7  27106.0    27187
read      376.5   364.7   160.7   204.5   218.1   348.5   416.0   450.2   471.0   493.5   519.6   561.0   802.3  3791.7 13240.7  18742.4    18735
read      340.1   916.9   148.8   193.4   204.5   282.1   333.2   366.7   395.5   435.4   494.1   581.3   950.0  5134.2 12273.2  86746.4    86505
