2023-05-20T04:01:32.856350 update_cores freqmine [2,3]
2023-05-20T04:01:38.571892 update_cores freqmine 1,2,3
2023-05-20T04:01:40.717265 update_cores freqmine [2,3]
2023-05-20T04:02:02.679725 update_cores freqmine 1,2,3
2023-05-20T04:02:03.560569 update_cores freqmine [2,3]
2023-05-20T04:02:11.719504 update_cores freqmine 1,2,3
2023-05-20T04:02:12.680792 update_cores freqmine [2,3]
2023-05-20T04:02:28.539806 update_cores freqmine 1,2,3
2023-05-20T04:02:29.809030 update_cores freqmine [2,3]
2023-05-20T04:02:53.360091 update_cores freqmine 1,2,3
2023-05-20T04:02:55.488196 update_cores freqmine [2,3]
2023-05-20T04:03:18.227313 end freqmine
2023-05-20T04:03:18.555530 start ferret [2,3]  2
2023-05-20T04:03:34.424685 update_cores ferret 1,2,3
2023-05-20T04:03:34.883939 update_cores ferret [2,3]
2023-05-20T04:04:01.271914 update_cores ferret 1,2,3
2023-05-20T04:04:03.763473 update_cores ferret [2,3]
2023-05-20T04:04:29.358602 update_cores ferret 1,2,3
2023-05-20T04:04:29.851239 update_cores ferret [2,3]
2023-05-20T04:04:33.940334 update_cores ferret 1,2,3
2023-05-20T04:04:34.812253 update_cores ferret [2,3]
2023-05-20T04:04:39.722628 update_cores ferret 1,2,3
2023-05-20T04:04:40.623055 update_cores ferret [2,3]
2023-05-20T04:04:50.400309 update_cores ferret 1,2,3
2023-05-20T04:04:52.509124 update_cores ferret [2,3]
2023-05-20T04:05:00.670899 update_cores ferret 1,2,3
2023-05-20T04:05:04.804992 update_cores ferret [2,3]
2023-05-20T04:05:15.399186 update_cores ferret 1,2,3
2023-05-20T04:05:15.855089 update_cores ferret [2,3]
2023-05-20T04:05:17.532130 update_cores ferret 1,2,3
2023-05-20T04:05:18.393915 update_cores ferret [2,3]
2023-05-20T04:05:40.331581 update_cores ferret 1,2,3
2023-05-20T04:05:41.610898 update_cores ferret [2,3]
2023-05-20T04:05:43.691739 update_cores ferret 1,2,3
2023-05-20T04:05:44.572734 update_cores ferret [2,3]
2023-05-20T04:05:54.743678 update_cores ferret 1,2,3
2023-05-20T04:05:55.635264 update_cores ferret [2,3]
2023-05-20T04:06:16.759681 update_cores ferret 1,2,3
2023-05-20T04:06:18.452447 update_cores ferret [2,3]
2023-05-20T04:06:23.392437 update_cores ferret 1,2,3
2023-05-20T04:06:23.870980 update_cores ferret [2,3]
2023-05-20T04:06:31.207985 update_cores ferret 1,2,3
2023-05-20T04:06:31.676196 update_cores ferret [2,3]
2023-05-20T04:06:33.339669 update_cores ferret 1,2,3
2023-05-20T04:06:34.615665 update_cores ferret [2,3]
2023-05-20T04:06:40.342818 update_cores ferret 1,2,3
2023-05-20T04:06:40.798038 update_cores ferret [2,3]
2023-05-20T04:06:47.329116 update_cores ferret 1,2,3
2023-05-20T04:06:47.853674 update_cores ferret [2,3]
2023-05-20T04:07:03.298477 update_cores ferret 1,2,3
2023-05-20T04:07:03.783684 update_cores ferret [2,3]
2023-05-20T04:07:08.843710 end ferret
2023-05-20T04:07:08.846262 end scheduler
